timestamp,module,address,function,data_dec,data_hex,q
2025-08-12T15:10:22.998,QVT,0,0,288,0x120,1
2025-08-12T15:10:22.998,GATE,0,0,400,0x190,1
2025-08-12T15:10:23.199,QVT,0,0,288,0x120,1
2025-08-12T15:10:23.199,GATE,0,0,400,0x190,1
2025-08-12T15:10:23.399,QVT,0,0,288,0x120,1
2025-08-12T15:10:23.399,GATE,0,0,400,0x190,1
2025-08-12T15:10:23.599,QVT,0,0,288,0x120,1
2025-08-12T15:10:23.599,GATE,0,0,400,0x190,1
2025-08-12T15:10:23.799,QVT,0,0,288,0x120,1
2025-08-12T15:10:23.799,GATE,0,0,400,0x190,1
2025-08-12T15:10:23.999,QVT,0,0,288,0x120,1
2025-08-12T15:10:23.999,GATE,0,0,400,0x190,1
2025-08-12T15:10:24.199,QVT,0,0,288,0x120,1
2025-08-12T15:10:24.199,GATE,0,0,400,0x190,1
2025-08-12T15:10:24.399,QVT,0,0,288,0x120,1
2025-08-12T15:10:24.399,GATE,0,0,400,0x190,1
2025-08-12T15:10:24.599,QVT,0,0,288,0x120,1
2025-08-12T15:10:24.599,GATE,0,0,400,0x190,1
2025-08-12T15:10:24.799,QVT,0,0,288,0x120,1
2025-08-12T15:10:24.799,GATE,0,0,400,0x190,1
2025-08-12T15:10:24.999,QVT,0,0,288,0x120,1
2025-08-12T15:10:24.999,GATE,0,0,400,0x190,1
2025-08-12T15:10:25.211,QVT,0,0,288,0x120,1
2025-08-12T15:10:25.212,GATE,0,0,400,0x190,1
2025-08-12T15:10:25.399,QVT,0,0,288,0x120,1
2025-08-12T15:10:25.399,GATE,0,0,400,0x190,1
2025-08-12T15:10:25.600,QVT,0,0,288,0x120,1
2025-08-12T15:10:25.600,GATE,0,0,400,0x190,1
2025-08-12T15:10:25.799,QVT,0,0,288,0x120,1
2025-08-12T15:10:25.799,GATE,0,0,400,0x190,1
2025-08-12T15:10:25.999,QVT,0,0,288,0x120,1
2025-08-12T15:10:25.999,GATE,0,0,400,0x190,1
2025-08-12T15:10:26.200,QVT,0,0,288,0x120,1
2025-08-12T15:10:26.200,GATE,0,0,400,0x190,1
2025-08-12T15:10:26.399,QVT,0,0,288,0x120,1
2025-08-12T15:10:26.399,GATE,0,0,400,0x190,1
2025-08-12T15:10:26.599,QVT,0,0,288,0x120,1
2025-08-12T15:10:26.599,GATE,0,0,400,0x190,1
2025-08-12T15:10:26.799,QVT,0,0,288,0x120,1
2025-08-12T15:10:26.799,GATE,0,0,400,0x190,1
2025-08-12T15:10:27.001,QVT,0,0,288,0x120,1
2025-08-12T15:10:27.001,GATE,0,0,400,0x190,1
2025-08-12T15:10:27.199,QVT,0,0,288,0x120,1
2025-08-12T15:10:27.199,GATE,0,0,400,0x190,1
2025-08-12T15:10:27.399,QVT,0,0,288,0x120,1
2025-08-12T15:10:27.399,GATE,0,0,400,0x190,1
2025-08-12T15:10:27.600,QVT,0,0,288,0x120,1
2025-08-12T15:10:27.600,GATE,0,0,400,0x190,1
2025-08-12T15:10:27.799,QVT,0,0,288,0x120,1
2025-08-12T15:10:27.799,GATE,0,0,400,0x190,1
2025-08-12T15:10:27.999,QVT,0,0,288,0x120,1
2025-08-12T15:10:27.999,GATE,0,0,400,0x190,1
2025-08-12T15:10:28.199,QVT,0,0,288,0x120,1
2025-08-12T15:10:28.199,GATE,0,0,400,0x190,1
2025-08-12T15:10:28.399,QVT,0,0,288,0x120,1
2025-08-12T15:10:28.399,GATE,0,0,400,0x190,1
2025-08-12T15:10:28.599,QVT,0,0,288,0x120,1
2025-08-12T15:10:28.599,GATE,0,0,400,0x190,1
2025-08-12T15:10:28.799,QVT,0,0,288,0x120,1
2025-08-12T15:10:28.799,GATE,0,0,400,0x190,1
2025-08-12T15:10:28.999,QVT,0,0,288,0x120,1
2025-08-12T15:10:28.999,GATE,0,0,400,0x190,1
2025-08-12T15:10:29.199,QVT,0,0,288,0x120,1
2025-08-12T15:10:29.199,GATE,0,0,400,0x190,1
2025-08-12T15:10:29.399,QVT,0,0,288,0x120,1
2025-08-12T15:10:29.399,GATE,0,0,400,0x190,1
2025-08-12T15:10:29.599,QVT,0,0,288,0x120,1
2025-08-12T15:10:29.599,GATE,0,0,400,0x190,1
2025-08-12T15:10:29.800,QVT,0,0,288,0x120,1
2025-08-12T15:10:29.800,GATE,0,0,400,0x190,1
2025-08-12T15:10:29.999,QVT,0,0,288,0x120,1
2025-08-12T15:10:29.999,GATE,0,0,400,0x190,1
2025-08-12T15:10:30.199,QVT,0,0,288,0x120,1
2025-08-12T15:10:30.199,GATE,0,0,400,0x190,1
2025-08-12T15:10:30.399,QVT,0,0,288,0x120,1
2025-08-12T15:10:30.399,GATE,0,0,400,0x190,1
2025-08-12T15:10:30.599,QVT,0,0,288,0x120,1
2025-08-12T15:10:30.599,GATE,0,0,400,0x190,1
2025-08-12T15:10:30.799,QVT,0,0,288,0x120,1
2025-08-12T15:10:30.799,GATE,0,0,400,0x190,1
2025-08-12T15:10:30.999,QVT,0,0,288,0x120,1
2025-08-12T15:10:30.999,GATE,0,0,400,0x190,1
2025-08-12T15:10:31.199,QVT,0,0,288,0x120,1
2025-08-12T15:10:31.199,GATE,0,0,400,0x190,1
2025-08-12T15:10:31.399,QVT,0,0,288,0x120,1
2025-08-12T15:10:31.399,GATE,0,0,400,0x190,1
2025-08-12T15:10:31.599,QVT,0,0,288,0x120,1
2025-08-12T15:10:31.599,GATE,0,0,400,0x190,1
2025-08-12T15:10:31.799,QVT,0,0,288,0x120,1
2025-08-12T15:10:31.799,GATE,0,0,400,0x190,1
2025-08-12T15:10:31.999,QVT,0,0,288,0x120,1
2025-08-12T15:10:31.999,GATE,0,0,400,0x190,1
2025-08-12T15:10:32.199,QVT,0,0,288,0x120,1
2025-08-12T15:10:32.199,GATE,0,0,400,0x190,1
2025-08-12T15:10:32.399,QVT,0,0,288,0x120,1
2025-08-12T15:10:32.399,GATE,0,0,400,0x190,1
2025-08-12T15:10:32.599,QVT,0,0,288,0x120,1
2025-08-12T15:10:32.599,GATE,0,0,400,0x190,1
2025-08-12T15:10:32.800,QVT,0,0,288,0x120,1
2025-08-12T15:10:32.800,GATE,0,0,400,0x190,1
